learning_rate,weight_decay,dropout,momentum,accuracy,precision,sensitivity,specificity,MCC,AUC,Auc
0.001,0.0001,0.2,0.1,0.78313253,0.826388889,0.71686747,0.84939759,0.57130455,0.78313253,0.852010451
0.001,0.0001,0.2,0.1,0.737951807,0.791946309,0.67816092,0.803797468,0.483942799,0.740979194,0.808271497
0.001,0.0001,0.2,0.1,0.756024096,0.8359375,0.640718563,0.872727273,0.527442079,0.756722918,0.843912176
0.001,0.0001,0.2,0.1,0.743975904,0.82962963,0.643678161,0.85443038,0.506439019,0.74905427,0.829332169
0.001,0.0001,0.2,0.1,0.743975904,0.755395683,0.673076923,0.806818182,0.485488446,0.739947552,0.810606061
0.001,0.0001,0.2,0.5,0.795180723,0.835616438,0.734939759,0.855421687,0.594693478,0.795180723,0.859703876
0.001,0.0001,0.2,0.5,0.734939759,0.794520548,0.666666667,0.810126582,0.479733852,0.738396624,0.819402008
0.001,0.0001,0.2,0.5,0.78313253,0.814569536,0.736526946,0.83030303,0.569148055,0.783414988,0.834948285
0.001,0.0001,0.2,0.5,0.743975904,0.82962963,0.643678161,0.85443038,0.506439019,0.74905427,0.827076968
0.001,0.0001,0.2,0.5,0.740963855,0.765151515,0.647435897,0.823863636,0.480633104,0.735649767,0.818691725
0.001,0.0001,0.2,0.9,0.810240964,0.832258065,0.777108434,0.843373494,0.621848717,0.810240964,0.870590797
0.001,0.0001,0.2,0.9,0.737951807,0.777070064,0.701149425,0.778481013,0.479778799,0.739815219,0.826967845
0.001,0.0001,0.2,0.9,0.78313253,0.798742138,0.760479042,0.806060606,0.567033741,0.783269824,0.858936672
0.001,0.0001,0.2,0.9,0.765060241,0.82,0.706896552,0.829113924,0.537892045,0.768005238,0.84951986
0.001,0.0001,0.2,0.9,0.743975904,0.72611465,0.730769231,0.755681818,0.48628282,0.743225524,0.841528263
0.001,0.0001,0.5,0.1,0.78313253,0.845588235,0.692771084,0.873493976,0.57574525,0.78313253,0.842865438
0.001,0.0001,0.5,0.1,0.731927711,0.797202797,0.655172414,0.816455696,0.475667992,0.735814055,0.803179107
0.001,0.0001,0.5,0.1,0.753012048,0.824427481,0.646706587,0.860606061,0.518969961,0.753656324,0.813935765
0.001,0.0001,0.5,0.1,0.765060241,0.880952381,0.637931034,0.905063291,0.558829824,0.771497163,0.823803288
0.001,0.0001,0.5,0.1,0.753012048,0.753424658,0.705128205,0.795454545,0.503340195,0.750291375,0.808384324
0.001,0.0001,0.5,0.5,0.792168675,0.834482759,0.728915663,0.855421687,0.589070033,0.792168675,0.865510234
0.001,0.0001,0.5,0.5,0.728915663,0.8,0.643678161,0.82278481,0.471743266,0.733231486,0.813254765
0.001,0.0001,0.5,0.5,0.756024096,0.807142857,0.676646707,0.836363636,0.519411662,0.756505171,0.831137725
0.001,0.0001,0.5,0.5,0.777108434,0.867647059,0.67816092,0.886075949,0.573016514,0.782118434,0.856212716
0.001,0.0001,0.5,0.5,0.765060241,0.795454545,0.673076923,0.846590909,0.529959283,0.759833916,0.829363345
0.001,0.0001,0.5,0.9,0.819277108,0.858108108,0.765060241,0.873493976,0.642341669,0.819277108,0.87705037
0.001,0.0001,0.5,0.9,0.722891566,0.788732394,0.643678161,0.810126582,0.458090437,0.726902372,0.831550997
0.001,0.0001,0.5,0.9,0.768072289,0.804054054,0.71257485,0.824242424,0.539991497,0.768408637,0.848375975
0.001,0.0001,0.5,0.9,0.774096386,0.815286624,0.735632184,0.816455696,0.552258654,0.77604394,0.850247345
0.001,0.0001,0.5,0.9,0.768072289,0.776223776,0.711538462,0.818181818,0.533907857,0.76486014,0.848484848
0.001,0.0001,0.8,0.1,0.78313253,0.835714286,0.704819277,0.861445783,0.573341293,0.78313253,0.829293076
0.001,0.0001,0.8,0.1,0.731927711,0.781456954,0.67816092,0.791139241,0.470680395,0.73465008,0.782118434
0.001,0.0001,0.8,0.1,0.765060241,0.811188811,0.694610778,0.836363636,0.536135891,0.765487207,0.838649973
0.001,0.0001,0.8,0.1,0.743975904,0.932038835,0.551724138,0.955696203,0.547815967,0.75371017,0.828677433
0.001,0.0001,0.8,0.1,0.722891566,0.75,0.615384615,0.818181818,0.444584397,0.716783217,0.788935023
0.001,0.0001,0.8,0.5,0.798192771,0.866666667,0.704819277,0.891566265,0.607065004,0.798192771,0.851611264
0.001,0.0001,0.8,0.5,0.707831325,0.798449612,0.591954023,0.835443038,0.43791702,0.71369853,0.809435472
0.001,0.0001,0.8,0.5,0.762048193,0.823529412,0.670658683,0.854545455,0.533987212,0.762602069,0.814189802
0.001,0.0001,0.8,0.5,0.768072289,0.881889764,0.643678161,0.905063291,0.563887081,0.774370726,0.840389932
0.001,0.0001,0.8,0.5,0.753012048,0.813559322,0.615384615,0.875,0.511337424,0.745192308,0.818873834
0.001,0.0001,0.8,0.9,0.780120482,0.820689655,0.71686747,0.843373494,0.564778485,0.780120482,0.864022354
0.001,0.0001,0.8,0.9,0.740963855,0.793333333,0.683908046,0.803797468,0.489417518,0.743852757,0.841917649
0.001,0.0001,0.8,0.9,0.789156627,0.829931973,0.730538922,0.848484848,0.58284365,0.789511885,0.860823807
0.001,0.0001,0.8,0.9,0.771084337,0.865671642,0.666666667,0.886075949,0.562653627,0.776371308,0.845191328
0.001,0.0001,0.8,0.9,0.777108434,0.792857143,0.711538462,0.835227273,0.552592887,0.773382867,0.837339744
0.001,0.001,0.2,0.1,0.786144578,0.823129252,0.728915663,0.843373494,0.57607506,0.786144578,0.838292931
0.001,0.001,0.2,0.1,0.740963855,0.809859155,0.66091954,0.829113924,0.494661299,0.745016732,0.813400262
0.001,0.001,0.2,0.1,0.753012048,0.814814815,0.658682635,0.848484848,0.516239952,0.753583742,0.821121394
0.001,0.001,0.2,0.1,0.771084337,0.845070423,0.689655172,0.860759494,0.555612736,0.775207333,0.833915321
0.001,0.001,0.2,0.1,0.762048193,0.789473684,0.673076923,0.840909091,0.523501073,0.756993007,0.821022727
0.001,0.001,0.2,0.5,0.78313253,0.79375,0.765060241,0.801204819,0.566635316,0.78313253,0.850195965
0.001,0.001,0.2,0.5,0.731927711,0.781456954,0.67816092,0.791139241,0.470680395,0.73465008,0.81510985
0.001,0.001,0.2,0.5,0.771084337,0.837037037,0.676646707,0.866666667,0.553032438,0.771656687,0.834186173
0.001,0.001,0.2,0.5,0.746987952,0.796052632,0.695402299,0.803797468,0.500402528,0.749599884,0.83882584
0.001,0.001,0.2,0.5,0.765060241,0.774647887,0.705128205,0.818181818,0.52790614,0.761655012,0.819238054
0.001,0.001,0.2,0.9,0.804216867,0.834437086,0.759036145,0.84939759,0.61093304,0.804216867,0.882203513
0.001,0.001,0.2,0.9,0.725903614,0.754601227,0.706896552,0.746835443,0.453278811,0.726865997,0.823294049
0.001,0.001,0.2,0.9,0.777108434,0.803921569,0.736526946,0.818181818,0.556407537,0.777354382,0.856759209
0.001,0.001,0.2,0.9,0.753012048,0.798701299,0.706896552,0.803797468,0.51143869,0.75534701,0.851047577
0.001,0.001,0.2,0.9,0.753012048,0.743421053,0.724358974,0.778409091,0.503649342,0.751384033,0.851289336
0.001,0.001,0.5,0.1,0.765060241,0.789473684,0.722891566,0.807228916,0.532015917,0.765060241,0.8355712
0.001,0.001,0.5,0.1,0.734939759,0.775641026,0.695402299,0.778481013,0.474193885,0.736941656,0.808453368
0.001,0.001,0.5,0.1,0.762048193,0.778481013,0.736526946,0.787878788,0.525006248,0.762202867,0.831972419
0.001,0.001,0.5,0.1,0.75,0.876033058,0.609195402,0.905063291,0.533643098,0.757129347,0.836170522
0.001,0.001,0.5,0.1,0.734939759,0.75,0.653846154,0.806818182,0.467525964,0.730332168,0.8151588
0.001,0.001,0.5,0.5,0.795180723,0.85,0.71686747,0.873493976,0.597738795,0.795180723,0.857417622
0.001,0.001,0.5,0.5,0.740963855,0.775,0.712643678,0.772151899,0.484548888,0.742397788,0.823694166
0.001,0.001,0.5,0.5,0.768072289,0.8515625,0.652694611,0.884848485,0.552196217,0.768771548,0.832807113
0.001,0.001,0.5,0.5,0.768072289,0.854014599,0.672413793,0.873417722,0.553712318,0.772915757,0.850792958
0.001,0.001,0.5,0.5,0.75,0.787401575,0.641025641,0.846590909,0.500746912,0.743808275,0.819893648
0.001,0.001,0.5,0.9,0.804216867,0.848275862,0.740963855,0.86746988,0.613361581,0.804216867,0.863695747
0.001,0.001,0.5,0.9,0.728915663,0.783783784,0.666666667,0.797468354,0.466345443,0.732067511,0.832314855
0.001,0.001,0.5,0.9,0.780120482,0.813333333,0.730538922,0.83030303,0.563455181,0.780420976,0.858610053
0.001,0.001,0.5,0.9,0.743975904,0.820143885,0.655172414,0.841772152,0.503066107,0.748472283,0.838971337
0.001,0.001,0.5,0.9,0.756024096,0.769784173,0.685897436,0.818181818,0.509954469,0.752039627,0.845206876
0.001,0.001,0.8,0.1,0.789156627,0.828767123,0.728915663,0.84939759,0.582556877,0.789156627,0.843409784
0.001,0.001,0.8,0.1,0.728915663,0.791666667,0.655172414,0.810126582,0.468894472,0.732649498,0.807253019
0.001,0.001,0.8,0.1,0.75,0.747058824,0.760479042,0.739393939,0.500009094,0.749936491,0.811867175
0.001,0.001,0.8,0.1,0.759036145,0.861538462,0.643678161,0.886075949,0.542038509,0.764877055,0.832496726
0.001,0.001,0.8,0.1,0.756024096,0.809917355,0.628205128,0.869318182,0.515938758,0.748761655,0.800189394
0.001,0.001,0.8,0.5,0.774096386,0.876033058,0.638554217,0.909638554,0.569518032,0.774096386,0.827115692
0.001,0.001,0.8,0.5,0.734939759,0.775641026,0.695402299,0.778481013,0.474193885,0.736941656,0.812199913
0.001,0.001,0.8,0.5,0.728915663,0.818181818,0.592814371,0.866666667,0.47734666,0.729740519,0.816439848
0.001,0.001,0.8,0.5,0.768072289,0.864661654,0.66091954,0.886075949,0.557486756,0.773497745,0.830969009
0.001,0.001,0.8,0.5,0.743975904,0.79338843,0.615384615,0.857954545,0.49085945,0.73666958,0.809513403
0.001,0.001,0.8,0.9,0.798192771,0.846153846,0.728915663,0.86746988,0.602193792,0.798192771,0.868086805
0.001,0.001,0.8,0.9,0.737951807,0.795918367,0.672413793,0.810126582,0.485168162,0.741270188,0.839044086
0.001,0.001,0.8,0.9,0.78313253,0.798742138,0.760479042,0.806060606,0.567033741,0.783269824,0.847142079
0.001,0.001,0.8,0.9,0.774096386,0.836734694,0.706896552,0.848101266,0.558020188,0.777498909,0.858286047
0.001,0.001,0.8,0.9,0.765060241,0.795454545,0.673076923,0.846590909,0.529959283,0.759833916,0.838869464
0.001,0.01,0.2,0.1,0.789156627,0.815789474,0.746987952,0.831325301,0.580381,0.789156627,0.846566991
0.001,0.01,0.2,0.1,0.722891566,0.792857143,0.637931034,0.816455696,0.459530324,0.727193365,0.80536156
0.001,0.01,0.2,0.1,0.762048193,0.789473684,0.718562874,0.806060606,0.526489707,0.76231174,0.829032843
0.001,0.01,0.2,0.1,0.753012048,0.848484848,0.643678161,0.873417722,0.527682005,0.758547941,0.840135312
0.001,0.01,0.2,0.1,0.725903614,0.737226277,0.647435897,0.795454545,0.448990707,0.721445221,0.793014277
0.001,0.01,0.2,0.5,0.777108434,0.802631579,0.734939759,0.819277108,0.556198458,0.777108434,0.8536072
0.001,0.01,0.2,0.5,0.734939759,0.798611111,0.66091954,0.816455696,0.481064028,0.738687618,0.811945293
